OCORRENCIA_ANO,OCORRENCIA_MES,ATENDIMENTO_BAIRRO_NOME,OCORRENCIAS,OCORRENCIAS_LAG1,OCORRENCIAS_LAG2,OCORRENCIAS_LAG3,OCORRENCIAS_LAG4
2009,3,JUVEVE,14,2.0,2.0,0.0,0.0
2009,3,LINDOIA,11,6.0,8.0,0.0,0.0
2009,3,MERCES,14,16.0,9.0,0.0,0.0
2009,3,MOSSUNGUE,5,9.0,8.0,0.0,0.0
2009,3,NOVO MUNDO,60,46.0,71.0,0.0,0.0
2009,3,ORLEANS,5,14.0,7.0,0.0,0.0
2009,3,PAROLIN,12,9.0,4.0,0.0,0.0
2009,3,PILARZINHO,24,26.0,31.0,0.0,0.0
2009,3,PINHEIRINHO,56,48.0,61.0,0.0,0.0
2009,3,PORTAO,64,48.0,48.0,0.0,0.0
2009,3,PRADO VELHO,7,13.0,15.0,0.0,0.0
2009,3,REBOUCAS,24,24.0,26.0,0.0,0.0
2009,3,SANTA CANDIDA,28,42.0,51.0,0.0,0.0
2009,3,SANTA FELICIDADE,54,60.0,66.0,0.0,0.0
2009,3,SANTA QUITERIA,12,7.0,14.0,0.0,0.0
2009,3,SANTO INACIO,40,30.0,32.0,0.0,0.0
2009,3,SAO BRAZ,14,9.0,18.0,0.0,0.0
2009,3,SAO FRANCISCO,34,27.0,24.0,0.0,0.0
2009,3,SAO JOAO,2,4.0,3.0,0.0,0.0
2009,3,SAO LOURENCO,4,9.0,4.0,0.0,0.0
2009,3,SAO MIGUEL,6,3.0,1.0,0.0,0.0
2009,3,SEMINARIO,7,6.0,2.0,0.0,0.0
2009,3,SITIO CERCADO,133,158.0,170.0,0.0,0.0
2009,3,TABOAO,6,8.0,10.0,0.0,0.0
2009,3,TARUMA,3,2.0,4.0,0.0,0.0
2009,3,TATUQUARA,40,49.0,60.0,0.0,0.0
2009,3,TINGUI,8,11.0,4.0,0.0,0.0
2009,3,UBERABA,61,66.0,46.0,0.0,0.0
2009,3,UMBARA,14,9.0,15.0,0.0,0.0
2009,3,VILA IZABEL,6,3.0,1.0,0.0,0.0
2009,3,VISTA ALEGRE,10,3.0,2.0,0.0,0.0
2009,3,XAXIM,46,25.0,50.0,0.0,0.0
2009,4,ABRANCHES,9,3.0,11.0,14.0,0.0
2009,4,AGUA VERDE,33,33.0,23.0,29.0,0.0
2009,4,AHU,1,8.0,1.0,6.0,0.0
2009,4,ALTO BOQUEIRAO,43,59.0,45.0,46.0,0.0
2009,4,ALTO DA GLORIA,13,11.0,8.0,5.0,0.0
2009,4,ALTO DA RUA XV,8,8.0,8.0,10.0,0.0
2009,4,ATUBA,12,16.0,11.0,9.0,0.0
2009,4,AUGUSTA,4,5.0,10.0,10.0,0.0
2009,4,BACACHERI,31,41.0,24.0,24.0,0.0
2009,4,BAIRRO ALTO,35,40.0,35.0,46.0,0.0
2009,4,BARREIRINHA,18,25.0,25.0,20.0,0.0
2009,4,BATEL,7,11.0,10.0,4.0,0.0
2009,4,BIGORRILHO,12,13.0,10.0,13.0,0.0
