LOGRADOURO_NOME,LATITUDE,LONGITUDE
rua airton pizzato guzi,,
MONTEIRO TOURINHO,-25.3881545,-49.2108255
GABRIEL JOAQUIM,-25.3646659,-49.2166174
 ZEM BERTAPELLE,-25.3974853,-49.3310025
JOAO BETTEGA,-25.4746657,-49.2957938
FLAVIO DALLEGRAVE,-25.3891774,-49.2603696
 OURIZONA,-25.535927,-49.2508756
ADELINA FERREIRA MULLER,-25.4207865,-49.3370724
VEREADOR ANTONIO GIACOMASSI,-25.5307568,-49.2387285
TENENTE TITO TEIXEIRA DE CASTRO,-25.4953028,-49.2502301
 ENGENHEIROS REBOUÇAS,-25.4451465,-49.2680593
joão malucelli neto,-25.5300138,-49.3366056
 JOÃO MALTA DE ALBUQUERQUE MARANHÃO,-25.5254761,-49.28579
 DOUTOR SALVADOR DE MAIO,-25.4509796,-49.241743
JOSÉ BRUM,-25.5030171,-49.2616546
r. leony azevedo rocha,,
 AQUELINO ORESTES BAGLIOLI,-25.4498337,-49.2451981
 HEITOR FERREIRA,-25.5617208,-49.3152273
 IZABEL RAKSA VOLUZ,-25.5302629,-49.2828495
SÃO MIGUEL DO IGUAÇÚ,-25.410631,-49.3595153
JOÃO CUBAS,-25.4844327,-49.2890577
CONSELHEIRO LAURINDO,-25.427822,-49.2659451
EMBAIXADOR  JOSÉ CARLOS DE MACEDO SOARES,,
CASTORINO AUGUSTO RODRIGUES,-25.4622428,-49.2117542
ARNOLDO WOLFF GAENSLY,-25.3763354,-49.210524
DESEMBARGADOR ANTÔNIO DE PAULA,-25.5043201,-49.2181747
MARGARIDA MEIRELLES,-25.3732155,-49.2678933
DENILSON FELIPE DE LIMA,-25.50961,-49.3270375
JOÃO REBOLI,-25.3811479,-49.2363193
BARÃO DE SANTO ANGELO,-25.5114241,-49.2787559
APUCARANA,-25.5426167,-49.282275
PARANÁPOEMA,-25.4221475,-49.352458
OPILIO DE MELLO PINHEIRO,-25.4963521,-49.2981917
BARÃO DO SERRO AZUL,-25.42514,-49.2703241
HEITOR BAGGIO VIDAL,-25.4263025,-49.2010945
FRANCISCO ZUNEDA FERREIRA DA COSTA,-25.4099361,-49.217856
ALFERES POLI,-25.4609829,-49.2618773
 DAVI XAVIER DA SILVA,-25.5105418,-49.3262167
SETE DE SETEMBRO,-25.4341267,-49.258001
ET Xapinhal,,
CARLOS BLANCK,-25.4794797,-49.3047491
PROFESSOR MANOEL DE ABREU,-25.4794713,-49.304096
VALENTIN DEDA,-25.5086269,-49.306392
AIRTON ELOI MAGANHOTTO,,
PAULA PREVEDELLO GUSSO,-25.3770372,-49.2527926
JOANNA Z KUREK,-25.4222975,-49.3584595
INGO VIEBRANTZ,-25.3819071,-49.2410769
SARGENTO FRANCISCO DA SILVA COTRIN,-25.559874,-49.3159266
AMÉRICO VESPÚCIO,-25.4827571,-49.2799069
PEDRO RIBEIRO DOS SANTOS,-25.3984939,-49.3254654
DEPUTADO VIDAL VANHONI,-25.5610999,-49.3373443
NOSSA SENHORA DE CARAVAGGIO,,
TENENTE FRANCISCO FERREIRA DE SOUZA,-25.5015234,-49.2388357
COMENDADOR FONTANA,-25.4190525,-49.2670916
ROBERTO TANER,-25.3772453,-49.2919172
OLIVEIRA VIANA,-25.4762525,-49.2581298
JOVINO DO ROSÁRIO,-25.3939204,-49.2423172
 OLIVEIRA VIANA,-25.4762525,-49.2581298
 LOURENÇO PINTO,-25.4370877,-49.2676659
VIA VENETO,-25.4118232,-49.3423647439466
TENENTE DOUGLAS ACÁCIO BENETOLO,-25.4694107,-49.2969545
MAX SCHUBERT,-25.5210665,-49.2522063
SEBASTIAO GOMES OLIVEIRA,-25.5275563,-49.2776918
MADRE CLÉLIA MERLONI,-25.4008565,-49.3313809
OSMÁRIO DE LIMA,-25.4337706,-49.2192075
GOIANIA,-25.4762687,-49.5705514
PEDRO PROSDÓCIMO,-25.5663745,-49.3413166
 ANITA GARIBALDI,-25.393377,-49.2597945
JULIO SALSAMENDI,,
JOVENILSON AMÉRICO DE OLIVEIRA,-25.5588291,-49.3311141
 R DA TRINDADE,-25.4465021,-49.2057023
viaduto do centro politécnico,,
PROFESSORA LUIZA BORGES FANINI,-25.5439231,-49.2688039
 SÃO VICENTE PALLOTTI,-25.4483209,-49.2265034
ATÍLIO BÓRIO,-25.4336285,-49.2533351
VOLUNTÁRIOS DA PÁTRIA,-25.4320269,-49.2755633
 BRIGADEIRO EDUARDO GOMES,-25.5190979,-49.2867744
ETELVINA DA LUZ DE BARROS,-25.4552202,-49.3452308
CATARINA GABARDO,-25.4968465,-49.2627691
LOTHÁRIO BOUTIN,-25.5090895,-49.2918462
CLEMENTE RITZ,-25.4723298,-49.3475399
TIJUCAS DO SUL,-25.9273376,-49.179265
WINSTON CHURCHILL,-25.4958282,-49.2948805
MARIA DE SOUZA COELHO,-25.5060551,-49.3451719
FREDERICO CANTARELLI,-25.4291469,-49.297875
PARAÍSO DO NORTE,-25.5201264,-49.2483179
alameda ecoligica burle maxi,,
 ENGENHEIRO COSTA BARROS,-25.4511621,-49.2149569
MARTIM AFONSO,-25.4350818,-49.3016891
MAJOR FABRICIANO DO RÊGO BARROS,-25.476043,-49.2554198
ALFREDO BARCIK,-25.4809087,-49.1975695
DESEMBARGADOR HUGO SIMAS,-25.4000106,-49.2865699
Luiz Atilio de Macedo,-25.5322023,-49.3402054
MILTON CAMARGO DE OLIVEIRA,-25.4118826,-49.355038
CID MARCONDES DE ALBUQUERQUE,-25.5265771,-49.2674699
RAGGI IZAR,-25.4867137,-49.261506
JOÃO FAIN,-25.4996616,-49.2229308
PROFESSOR OSCAR OSVALDO JASPER,-25.4848346,-49.2304081
ENGENHEIRO COSTA BARROS,-25.4511621,-49.2149569
