mes,ano,descBairro,qtde_boletins,lag1,lag2,lag3,lag4
1,2019,PAROLIN,76,59.0,76.0,84.0,64.0
1,2019,PILARZINHO,71,57.0,63.0,80.0,73.0
1,2019,PINHEIRINHO,232,197.0,191.0,232.0,193.0
1,2019,PORTAO,265,245.0,271.0,280.0,241.0
1,2019,PRADO VELHO,55,30.0,49.0,53.0,63.0
1,2019,REBOUCAS,126,143.0,143.0,188.0,151.0
1,2019,RIVIERA,1,1.0,1.0,1.0,3.0
1,2019,SANTA CANDIDA,85,101.0,82.0,106.0,86.0
1,2019,SANTA FELICIDADE,106,103.0,89.0,97.0,83.0
1,2019,SANTA QUITERIA,55,52.0,47.0,38.0,42.0
1,2019,SANTO INACIO,21,18.0,24.0,18.0,24.0
1,2019,SAO BRAZ,54,56.0,71.0,61.0,43.0
1,2019,SAO FRANCISCO,60,82.0,84.0,73.0,82.0
1,2019,SAO JOAO,2,6.0,8.0,1.0,4.0
1,2019,SAO LOURENCO,17,25.0,20.0,16.0,15.0
1,2019,SEMINARIO,34,34.0,38.0,46.0,31.0
1,2019,SITIO CERCADO,375,428.0,412.0,405.0,395.0
1,2019,TABOAO,13,4.0,8.0,7.0,1.0
1,2019,TARUMA,32,41.0,42.0,45.0,40.0
1,2019,TATUQUARA,222,171.0,184.0,190.0,176.0
1,2019,TINGUI,32,31.0,30.0,38.0,33.0
1,2019,UBERABA,173,148.0,176.0,196.0,202.0
1,2019,UMBARA,48,67.0,86.0,55.0,65.0
1,2019,VILA IZABEL,34,31.0,42.0,31.0,39.0
1,2019,VISTA ALEGRE,17,23.0,19.0,18.0,13.0
1,2019,XAXIM,131,149.0,139.0,126.0,123.0
1,2020,ABRANCHES,32,29.0,21.0,19.0,25.0
1,2020,AGUA VERDE,221,179.0,185.0,223.0,236.0
1,2020,AHU,31,37.0,35.0,39.0,41.0
1,2020,ALTO BOQUEIRAO,107,110.0,110.0,105.0,113.0
1,2020,ALTO DA GLORIA,47,34.0,42.0,34.0,46.0
1,2020,ALTO DA RUA XV,67,63.0,58.0,53.0,62.0
1,2020,ALTO DA XV,1,1.0,5.0,1.0,2.0
1,2020,ATUBA,47,42.0,44.0,29.0,34.0
1,2020,AUGUSTA,7,6.0,1.0,10.0,6.0
1,2020,BACACHERI,84,54.0,54.0,62.0,68.0
1,2020,BAIRRO ALTO,133,118.0,117.0,114.0,103.0
1,2020,BARREIRINHA,69,54.0,48.0,71.0,60.0
1,2020,BATEL,108,82.0,114.0,103.0,122.0
1,2020,BIGORRILHO,86,78.0,80.0,81.0,91.0
1,2020,BOA VISTA,114,92.0,95.0,115.0,100.0
1,2020,BOM RETIRO,22,22.0,17.0,24.0,19.0
1,2020,BOQUEIRAO,237,185.0,238.0,227.0,238.0
1,2020,BUTIATUVINHA,33,23.0,30.0,26.0,32.0
1,2020,CABRAL,36,47.0,45.0,66.0,51.0
1,2020,CACHOEIRA,19,17.0,16.0,21.0,33.0
1,2020,CAJURU,309,272.0,277.0,304.0,297.0
1,2020,CAMPINA DO SIQUEIRA,31,29.0,43.0,27.0,24.0
1,2020,CAMPO COMPRIDO,89,70.0,69.0,94.0,92.0
1,2020,CAMPO DE SANTANA,95,89.0,85.0,93.0,76.0
1,2020,CAMPO DO SANTANA,2,2.0,2.0,1.0,2.0
1,2020,CAPAO DA IMBUIA,80,47.0,67.0,70.0,60.0
1,2020,CAPAO RASO,153,121.0,115.0,119.0,120.0
1,2020,CASCATINHA,5,1.0,4.0,4.0,4.0
1,2020,CAXIMBA,8,9.0,7.0,5.0,5.0
1,2020,CENTRO,1065,1090.0,1035.0,948.0,1021.0
1,2020,CENTRO CIVICO,45,66.0,39.0,43.0,52.0
1,2020,CIDADE INDUSTRIAL DE CURITIBA,601,521.0,495.0,547.0,502.0
1,2020,CRISTO REI,83,53.0,56.0,69.0,60.0
1,2020,FANNY,51,41.0,25.0,50.0,40.0
1,2020,FAZENDINHA,65,76.0,91.0,89.0,72.0
1,2020,GANCHINHO,53,42.0,42.0,41.0,35.0
1,2020,GUABIROTUBA,37,36.0,18.0,36.0,26.0
1,2020,GUAIRA,58,66.0,64.0,93.0,67.0
1,2020,HAUER,125,119.0,95.0,130.0,122.0
1,2020,HUGO LANGE,14,18.0,18.0,16.0,15.0
1,2020,JARDIM BOTANICO,103,76.0,58.0,69.0,58.0
1,2020,JARDIM DAS AMERICAS,55,47.0,46.0,66.0,64.0
1,2020,JARDIM SOCIAL,20,20.0,18.0,9.0,16.0
1,2020,JUVEVE,38,46.0,52.0,54.0,41.0
1,2020,LAMENHA PEQUENA,1,3.0,5.0,3.0,2.0
1,2020,LINDOIA,34,35.0,25.0,32.0,20.0
1,2020,MERCES,81,66.0,83.0,74.0,92.0
1,2020,MOSSUNGUE,44,53.0,48.0,41.0,35.0
1,2020,NOVO MUNDO,161,141.0,160.0,154.0,141.0
1,2020,ORLEANS,25,19.0,21.0,17.0,20.0
1,2020,PAROLIN,74,66.0,77.0,84.0,67.0
1,2020,PILARZINHO,55,86.0,66.0,70.0,59.0
1,2020,PINHEIRINHO,270,180.0,184.0,234.0,196.0
1,2020,PORTAO,272,245.0,253.0,245.0,222.0
1,2020,PRADO VELHO,40,33.0,57.0,41.0,52.0
1,2020,REBOUCAS,137,125.0,168.0,137.0,134.0
1,2020,SANTA CANDIDA,112,93.0,78.0,115.0,109.0
1,2020,SANTA FELICIDADE,117,96.0,138.0,118.0,99.0
1,2020,SANTA QUITERIA,42,36.0,63.0,49.0,38.0
1,2020,SANTO INACIO,14,17.0,18.0,25.0,14.0
1,2020,SAO BRAZ,57,61.0,66.0,69.0,54.0
1,2020,SAO FRANCISCO,83,74.0,90.0,68.0,57.0
1,2020,SAO JOAO,1,5.0,9.0,4.0,4.0
1,2020,SAO LOURENCO,10,13.0,12.0,18.0,19.0
1,2020,SAO MIGUEL,1,8.0,4.0,6.0,5.0
1,2020,SEMINARIO,32,20.0,16.0,18.0,15.0
1,2020,SITIO CERCADO,417,418.0,405.0,440.0,396.0
1,2020,TABOAO,7,4.0,4.0,12.0,9.0
1,2020,TARUMA,38,50.0,48.0,38.0,40.0
1,2020,TATUQUARA,279,220.0,261.0,217.0,219.0
1,2020,TINGUI,47,37.0,21.0,22.0,26.0
1,2020,UBERABA,208,166.0,166.0,222.0,163.0
1,2020,UMBARA,47,55.0,56.0,55.0,43.0
1,2020,VILA IZABEL,60,40.0,34.0,41.0,45.0
1,2020,VISTA ALEGRE,30,27.0,21.0,18.0,21.0
1,2020,XAXIM,183,139.0,185.0,162.0,168.0
2,2016,ABRANCHES,55,35.0,0.0,0.0,0.0
2,2016,AGUA VERDE,244,256.0,0.0,0.0,0.0
2,2016,AHU,43,51.0,0.0,0.0,0.0
2,2016,ALTO BOQUEIRAO,112,122.0,0.0,0.0,0.0
2,2016,ALTO DA GLORIA,53,40.0,0.0,0.0,0.0
2,2016,ALTO DA RUA XV,74,84.0,0.0,0.0,0.0
2,2016,ALTO DA XV,10,10.0,0.0,0.0,0.0
2,2016,ATUBA,42,31.0,0.0,0.0,0.0
2,2016,AUGUSTA,5,3.0,0.0,0.0,0.0
2,2016,BACACHERI,93,132.0,0.0,0.0,0.0
2,2016,BAIRRO ALTO,160,123.0,0.0,0.0,0.0
2,2016,BAIRRO NOVO,10,24.0,0.0,0.0,0.0
2,2016,BARREIRINHA,63,72.0,0.0,0.0,0.0
2,2016,BATEL,121,150.0,0.0,0.0,0.0
2,2016,BIGORRILHO,98,107.0,0.0,0.0,0.0
2,2016,BOA VISTA,142,116.0,0.0,0.0,0.0
2,2016,BOM RETIRO,41,35.0,0.0,0.0,0.0
2,2016,BOQUEIRAO,317,254.0,0.0,0.0,0.0
2,2016,BUTIATUVINHA,25,11.0,0.0,0.0,0.0
2,2016,CABRAL,65,58.0,0.0,0.0,0.0
2,2016,CACHOEIRA,13,18.0,0.0,0.0,0.0
2,2016,CAJURU,325,333.0,0.0,0.0,0.0
2,2016,CAMPINA DO SIQUEIRA,40,46.0,0.0,0.0,0.0
2,2016,CAMPO COMPRIDO,90,80.0,0.0,0.0,0.0
2,2016,CAMPO DE SANTANA,43,67.0,0.0,0.0,0.0
2,2016,CAMPO DO SANTANA,1,3.0,0.0,0.0,0.0
2,2016,CAPAO DA IMBUIA,92,73.0,0.0,0.0,0.0
2,2016,CAPAO RASO,140,127.0,0.0,0.0,0.0
2,2016,CASCATINHA,6,6.0,0.0,0.0,0.0
2,2016,CAXIMBA,5,5.0,0.0,0.0,0.0
2,2016,CENTRO,1328,1149.0,0.0,0.0,0.0
2,2016,CENTRO CIVICO,82,73.0,0.0,0.0,0.0
2,2016,CIDADE INDUSTRIAL DE CURITIBA,507,516.0,0.0,0.0,0.0
2,2016,CRISTO REI,77,64.0,0.0,0.0,0.0
2,2016,FANNY,52,42.0,0.0,0.0,0.0
2,2016,FAZENDINHA,116,76.0,0.0,0.0,0.0
