,OCORRENCIA_DATA_SEM_HORARIO,OCORRENCIAS_ATENDIDAS
3767,2019-04-26,98
3768,2019-04-27,80
3769,2019-04-28,69
3770,2019-04-29,76
3771,2019-04-30,57
3772,2019-05-01,88
3773,2019-05-02,89
3774,2019-05-03,107
3775,2019-05-04,90
3776,2019-05-05,80
3777,2019-05-06,74
3778,2019-05-07,75
3779,2019-05-08,98
3780,2019-05-09,71
3781,2019-05-10,60
3782,2019-05-11,62
3783,2019-05-12,62
3784,2019-05-13,77
3785,2019-05-14,71
3786,2019-05-15,59
3787,2019-05-16,59
3788,2019-05-17,65
3789,2019-05-18,58
3790,2019-05-19,49
3791,2019-05-20,74
3792,2019-05-21,85
3793,2019-05-22,91
3794,2019-05-23,50
3795,2019-05-24,78
3796,2019-05-25,61
3797,2019-05-26,75
3798,2019-05-27,73
3799,2019-05-28,61
3800,2019-05-29,75
3801,2019-05-30,606
3802,2019-05-31,161
3803,2019-06-01,110
3804,2019-06-02,77
3805,2019-06-03,75
3806,2019-06-04,69
3807,2019-06-05,66
3808,2019-06-06,80
3809,2019-06-07,86
3810,2019-06-08,72
3811,2019-06-09,77
3812,2019-06-10,80
3813,2019-06-11,88
3814,2019-06-12,96
3815,2019-06-13,99
3816,2019-06-14,97
3817,2019-06-15,98
3818,2019-06-16,90
3819,2019-06-17,99
3820,2019-06-18,84
3821,2019-06-19,84
3822,2019-06-20,73
3823,2019-06-21,82
3824,2019-06-22,78
3825,2019-06-23,98
3826,2019-06-24,91
3827,2019-06-25,69
3828,2019-06-26,70
3829,2019-06-27,66
3830,2019-06-28,81
3831,2019-06-29,70
3832,2019-06-30,74
3833,2019-07-01,89
3834,2019-07-02,57
3835,2019-07-03,72
3836,2019-07-04,88
3837,2019-07-05,63
3838,2019-07-06,58
3839,2019-07-07,45
3840,2019-07-08,65
3841,2019-07-09,81
3842,2019-07-10,101
3843,2019-07-11,81
3844,2019-07-12,122
3845,2019-07-13,102
3846,2019-07-14,114
3847,2019-07-15,95
3848,2019-07-16,141
3849,2019-07-17,102
3850,2019-07-18,124
3851,2019-07-19,108
3852,2019-07-20,127
3853,2019-07-21,100
3854,2019-07-22,136
3855,2019-07-23,117
3856,2019-07-24,133
3857,2019-07-25,93
3858,2019-07-26,157
3859,2019-07-27,113
3860,2019-07-28,138
3861,2019-07-29,125
3862,2019-07-30,120
3863,2019-07-31,102
3864,2019-08-01,116
3865,2019-08-02,102
3866,2019-08-03,100
3867,2019-08-04,84
3868,2019-08-05,97
3869,2019-08-06,78
3870,2019-08-07,111
3871,2019-08-08,121
3872,2019-08-09,94
3873,2019-08-10,139
3874,2019-08-11,89
3875,2019-08-12,126
3876,2019-08-13,131
3877,2019-08-14,113
3878,2019-08-15,126
3879,2019-08-16,141
3880,2019-08-17,116
3881,2019-08-18,88
3882,2019-08-19,75
3883,2019-08-20,100
3884,2019-08-21,103
3885,2019-08-22,101
3886,2019-08-23,111
3887,2019-08-24,96
3888,2019-08-25,96
3889,2019-08-26,105
3890,2019-08-27,115
3891,2019-08-28,108
3892,2019-08-29,120
3893,2019-08-30,106
3894,2019-08-31,116
3895,2019-09-01,63
3896,2019-09-02,86
3897,2019-09-03,89
3898,2019-09-04,84
3899,2019-09-05,63
3900,2019-09-06,103
3901,2019-09-07,68
3902,2019-09-08,89
3903,2019-09-09,110
3904,2019-09-10,112
3905,2019-09-11,107
3906,2019-09-12,114
3907,2019-09-13,107
3908,2019-09-14,83
3909,2019-09-15,85
3910,2019-09-16,101
3911,2019-09-17,108
3912,2019-09-18,234
3913,2019-09-19,322
3914,2019-09-20,162
3915,2019-09-21,97
3916,2019-09-22,83
3917,2019-09-23,68
3918,2019-09-24,92
3919,2019-09-25,100
3920,2019-09-26,107
3921,2019-09-27,113
3922,2019-09-28,75
3923,2019-09-29,106
3924,2019-09-30,97
3925,2019-10-01,100
3926,2019-10-02,109
3927,2019-10-03,96
3928,2019-10-04,101
3929,2019-10-05,110
3930,2019-10-06,53
3931,2019-10-07,86
3932,2019-10-08,109
3933,2019-10-09,92
3934,2019-10-10,108
3935,2019-10-11,83
3936,2019-10-12,96
3937,2019-10-13,100
3938,2019-10-14,91
3939,2019-10-15,99
3940,2019-10-16,98
3941,2019-10-17,108
3942,2019-10-18,115
3943,2019-10-19,114
3944,2019-10-20,78
3945,2019-10-21,70
3946,2019-10-22,81
3947,2019-10-23,86
3948,2019-10-24,96
3949,2019-10-25,97
3950,2019-10-26,96
3951,2019-10-27,90
3952,2019-10-28,97
3953,2019-10-29,97
3954,2019-10-30,99
3955,2019-10-31,87
3956,2019-11-01,101
3957,2019-11-02,100
3958,2019-11-03,88
3959,2019-11-04,86
3960,2019-11-05,73
3961,2019-11-06,85
3962,2019-11-07,118
3963,2019-11-08,76
3964,2019-11-09,95
3965,2019-11-10,66
3966,2019-11-11,82
3967,2019-11-12,92
3968,2019-11-13,110
3969,2019-11-14,71
3970,2019-11-15,99
3971,2019-11-16,79
3972,2019-11-17,95
3973,2019-11-18,71
3974,2019-11-19,88
3975,2019-11-20,76
3976,2019-11-21,95
3977,2019-11-22,90
3978,2019-11-23,102
3979,2019-11-24,75
3980,2019-11-25,71
3981,2019-11-26,83
3982,2019-11-27,76
3983,2019-11-28,102
3984,2019-11-29,95
3985,2019-11-30,86
3986,2019-12-01,122
3987,2019-12-02,108
3988,2019-12-03,129
3989,2019-12-04,126
3990,2019-12-05,137
3991,2019-12-06,130
3992,2019-12-07,166
3993,2019-12-08,120
3994,2019-12-09,141
3995,2019-12-10,132
3996,2019-12-11,148
3997,2019-12-12,155
3998,2019-12-13,147
3999,2019-12-14,114
4000,2019-12-15,148
4001,2019-12-16,106
4002,2019-12-17,128
4003,2019-12-18,97
4004,2019-12-19,136
4005,2019-12-20,131
4006,2019-12-21,126
4007,2019-12-22,108
4008,2019-12-23,134
4009,2019-12-24,86
4010,2019-12-25,93
4011,2019-12-26,119
4012,2019-12-27,135
4013,2019-12-28,124
4014,2019-12-29,126
4015,2019-12-30,116
4016,2019-12-31,101
4017,2020-01-01,112
4018,2020-01-02,97
4019,2020-01-03,124
4020,2020-01-04,89
4021,2020-01-05,137
4022,2020-01-06,126
4023,2020-01-07,108
4024,2020-01-08,132
4025,2020-01-09,149
4026,2020-01-10,133
4027,2020-01-11,115
4028,2020-01-12,153
4029,2020-01-13,169
4030,2020-01-14,151
4031,2020-01-15,142
4032,2020-01-16,119
4033,2020-01-17,134
4034,2020-01-18,145
4035,2020-01-19,110
4036,2020-01-20,113
4037,2020-01-21,126
4038,2020-01-22,108
4039,2020-01-23,120
4040,2020-01-24,107
4041,2020-01-25,121
4042,2020-01-26,120
4043,2020-01-27,101
4044,2020-01-28,98
4045,2020-01-29,126
4046,2020-01-30,139
4047,2020-01-31,132
4048,2020-02-01,128
4049,2020-02-02,77
4050,2020-02-03,92
4051,2020-02-04,120
4052,2020-02-05,121
4053,2020-02-06,91
4054,2020-02-07,91
4055,2020-02-08,121
4056,2020-02-09,107
4057,2020-02-10,106
4058,2020-02-11,111
4059,2020-02-12,121
4060,2020-02-13,108
4061,2020-02-14,116
4062,2020-02-15,123
4063,2020-02-16,131
4064,2020-02-17,111
4065,2020-02-18,115
4066,2020-02-19,112
4067,2020-02-20,131
4068,2020-02-21,110
4069,2020-02-22,95
