dia,boletins
2017-06-15 00:00:00,133
2017-06-16 00:00:00,215
2017-06-17 00:00:00,188
2017-06-18 00:00:00,157
2017-06-19 00:00:00,277
2017-06-20 00:00:00,247
2017-06-21 00:00:00,284
2017-06-22 00:00:00,253
2017-06-23 00:00:00,264
2017-06-24 00:00:00,184
2017-06-25 00:00:00,162
2017-06-26 00:00:00,244
2017-06-27 00:00:00,236
2017-06-28 00:00:00,232
2017-06-29 00:00:00,271
2017-06-30 00:00:00,253
2017-07-01 00:00:00,181
2017-07-02 00:00:00,134
2017-07-03 00:00:00,251
2017-07-04 00:00:00,240
2017-07-05 00:00:00,262
2017-07-06 00:00:00,240
2017-07-07 00:00:00,261
2017-07-08 00:00:00,166
2017-07-09 00:00:00,134
2017-07-10 00:00:00,257
2017-07-11 00:00:00,240
2017-07-12 00:00:00,221
2017-07-13 00:00:00,249
2017-07-14 00:00:00,250
2017-07-15 00:00:00,195
2017-07-16 00:00:00,146
2017-07-17 00:00:00,227
2017-07-18 00:00:00,216
2017-07-19 00:00:00,211
2017-07-20 00:00:00,256
2017-07-21 00:00:00,233
2017-07-22 00:00:00,195
2017-07-23 00:00:00,117
2017-07-24 00:00:00,213
2017-07-25 00:00:00,250
2017-07-26 00:00:00,274
2017-07-27 00:00:00,241
2017-07-28 00:00:00,286
2017-07-29 00:00:00,186
2017-07-30 00:00:00,128
2017-07-31 00:00:00,244
2017-08-01 00:00:00,269
2017-08-02 00:00:00,253
2017-08-03 00:00:00,237
2017-08-04 00:00:00,261
2017-08-05 00:00:00,166
2017-08-06 00:00:00,117
2017-08-07 00:00:00,216
2017-08-08 00:00:00,280
2017-08-09 00:00:00,257
2017-08-10 00:00:00,249
2017-08-11 00:00:00,231
2017-08-12 00:00:00,178
2017-08-13 00:00:00,130
2017-08-14 00:00:00,241
2017-08-15 00:00:00,223
2017-08-16 00:00:00,255
2017-08-17 00:00:00,226
2017-08-18 00:00:00,217
2017-08-19 00:00:00,167
2017-08-20 00:00:00,140
2017-08-21 00:00:00,215
2017-08-22 00:00:00,241
2017-08-23 00:00:00,269
2017-08-24 00:00:00,259
2017-08-25 00:00:00,237
2017-08-26 00:00:00,189
2017-08-27 00:00:00,150
2017-08-28 00:00:00,239
2017-08-29 00:00:00,267
2017-08-30 00:00:00,267
2017-08-31 00:00:00,226
2017-09-01 00:00:00,245
2017-09-02 00:00:00,169
2017-09-03 00:00:00,110
2017-09-04 00:00:00,200
2017-09-05 00:00:00,243
2017-09-06 00:00:00,260
2017-09-07 00:00:00,111
2017-09-08 00:00:00,141
